Num,Mt,Ad,Vdaf,"St,d",Hdaf,Cdaf,Odaf,Ro,V9-V13,G,X,Y,CRI,CSR
2_24,,6.55,26.02,,,,,1.07,,,,,34.8,51.5
2_25,,6.12,25.03,,,,,1.08,,,,,27.2,67.8
2_26,,4.94,26.54,,,,,1.1,,,,,44.8,51.6
2_27,,7,25.82,,,,,1.1,,,,,29.1,60.7
2_28,,7.32,25.81,,,,,1.1,,,,,26.9,66.9
2_29,,3.31,23.14,,,,,1.12,,,,,21.3,69.6
2_30,,5.94,26.7,,,,,1.16,,,,,20.9,73.2
2_31,,5.61,22.9,,,,,1.22,,,,,25.5,62
2_32,,7.44,23.59,,,,,1.23,,,,,42.3,54.8
2_33,,7.62,23.56,,,,,1.25,,,,,44.5,50
2_34,,6.22,22.03,,,,,1.23,,,,,50.8,53.2
1_1,,7.15,24.03,,,,,1.22,,,,,,62
1_2,,5.01,30.34,,,,,0.92,,,,,,24.5
1_3,,7.73,35.2,,,,,0.77,,,,,,23.8
1_4,,6.55,26.02,,,,,1.1,,,,,,51.5
1_5,,6.22,27.24,,,,,1.02,,,,,,43.3
1_6,,5.64,28.43,,,,,1.01,,,,,,30.9
1_7,,7.44,27.41,,,,,1.01,,,,,,58.1
1_8,,7.5,29.8,,,,,0.9,,,,,,51.5
1_9,,7.64,31.93,,,,,0.87,,,,,,40.6
1_10,,5.9,31.7,,,,,0.8,,,,,,26.5
1_11,,6.4,32.81,,,,,0.85,,,,,,31.3
1_12,,6.92,33.75,,,,,0.82,,,,,,26.9
1_13,,7,25.82,,,,,1.15,,,,,,60.7
1_14,,6.88,27.55,,,,,1.01,,,,,,50.4
1_15,,7.25,29.11,,,,,0.92,,,,,,44.6
1_16,,6.14,28.38,,,,,1.03,,,,,,43.8
1_17,,6.42,28.76,,,,,1.01,,,,,,47.9
1_18,,6.74,29.15,,,,,1,,,,,,45.2
1_19,,6.97,29.71,,,,,0.98,,,,,,43.1
1_20,,6.57,29.88,,,,,0.92,,,,,,39
1_21,,6.76,30.41,,,,,0.92,,,,,,35.1
1_22,,6.09,30.1,,,,,0.92,,,,,,43.8
1_23,,6.6,31.12,,,,,0.86,,,,,,34
1_24,,7.05,32.01,,,,,0.85,,,,,,35.1
1_25,,5.57,30.02,,,,,0.92,,,,,,39.4
1_26,,6.57,32.12,,,,,0.83,,,,,,34.7
1_27,,7.41,33.58,,,,,0.81,,,,,,38.8
CHN_1,1.18,12.45,32.79,0.42,5.108827858,86.0063079,6.807917666,1.117,,88,41,20,37.3,39.5
